"","Date","Date_Exposed","DAE","Pool","Pool_Endo","Group","Endophyte","Distance","Plant","Leaf","Dam","Rhiz","Coll","Pucc","Sept"
"463","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,469,1,"ND",0,0,0,0
"464","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,469,2,"ND",0,0,0,0
"465","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,469,3,"ND",0,0,0,0
"466","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,469,4,"ND",0,0,0,0
"467","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,469,5,"ND",0,0,0,0
"468","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,469,6,"ND",0,0,0,0
"469","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,469,7,"ND",0,0,0,0
"470","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,444,1,"D",1,0,0,0
"471","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,444,2,"ND",0,0,0,0
"472","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,444,3,"ND",0,0,0,0
"473","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,444,4,"ND",0,0,0,0
"474","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,444,5,"ND",0,0,0,0
"475","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,444,6,"ND",0,0,0,0
"476","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,444,7,"ND",0,0,0,0
"477","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,373,1,"ND",0,0,0,0
"478","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,373,2,"ND",0,0,0,0
"479","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,373,3,"ND",0,0,0,0
"480","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,373,4,"ND",0,0,0,0
"481","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,373,5,"ND",0,0,0,0
"482","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,373,6,"ND",0,0,0,0
"483","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,373,7,"ND",0,0,0,0
"484","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,442,1,"D",1,0,0,0
"485","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,442,2,"ND",0,0,0,0
"486","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,442,3,"ND",0,0,0,0
"487","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,442,4,"ND",0,0,0,0
"488","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,442,5,"NL",0,0,0,0
"489","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,442,6,"NL",0,0,0,0
"490","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",12,442,7,"NL",0,0,0,0
"491","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,430,1,"ND",0,0,0,0
"492","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,430,2,"ND",0,0,0,0
"493","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,430,3,"ND",0,0,0,0
"494","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",24,430,4,"ND",0,0,0,0
